DAY,T_mean,RH_max,P_mean
1/1/12,9.5,60.6,1026.1
1/2/12,8.6,63.5,1027.6
1/3/12,8.8,69.9,1026.9
1/4/12,10.3,77.6,1026
1/5/12,10.7,80.8,1018.1
1/6/12,13.5,75.1,1004.7
1/7/12,9.8,64.5,1007.5
1/8/12,8,62.7,1013.1
1/9/12,8.1,56.5,1017.4
1/10/12,6.8,70.5,1020.7
1/11/12,5.4,81.7,1024.6
1/12/12,6.9,66.8,1027.2
1/13/12,8.4,68.6,1024.4
1/14/12,9.8,72.5,1016.8
1/15/12,6.2,67.3,1016.4
1/16/12,4.5,47,1022.9
1/17/12,4.5,52.2,1026.8
1/18/12,5.4,54,1032.3
1/19/12,6.2,56.9,1033.7
1/20/12,11.1,65.5,1026.1
1/21/12,11.4,62,1015.2
1/22/12,9.3,51.9,1017.7
1/23/12,11,72,1018.5
1/24/12,11.9,85.7,1016.2
1/25/12,10.8,76.2,1004.8
1/26/12,7.1,69.4,1015.1
1/27/12,7.1,64.7,1027.2
1/28/12,6.5,73.1,1028.9
1/29/12,6.8,63.3,1024.5
1/30/12,3.7,63.7,1021.8
1/31/12,2,65.8,1023.3
2/1/12,3.3,65.3,1025.2
2/2/12,6.8,80.4,1021.6
2/3/12,11.9,77.1,1022.8
2/4/12,14,77.5,1022.7
2/5/12,14.9,77.2,1020.2
2/6/12,13.4,75.7,1015.1
2/7/12,10.5,79.5,1007
2/8/12,5.7,70.2,1018.9
2/9/12,4.3,74.9,1020.8
2/10/12,6.5,70.6,1025.3
2/11/12,10.4,74.3,1024.5
2/12/12,10.7,84.8,1021.1
2/13/12,11.3,75.8,1015.5
2/14/12,9.4,74.5,1012.9
2/15/12,8.5,65.4,1012
2/16/12,7.9,67.1,1010.7
2/17/12,5.7,49.4,1020.1
2/18/12,8.3,45.3,1023.5
2/19/12,10,61.5,1028.7
2/20/12,10.2,78.8,1030.4
2/21/12,11.4,67.8,1030.5
2/22/12,11,76,1026.2
2/23/12,11.5,67.5,1023.2
2/24/12,11.9,63.8,1019.3
2/25/12,13.5,63.5,1018.3
2/26/12,13.5,75.1,1012.7
2/27/12,9.1,76.8,1007.6
2/28/12,4.8,63.4,1016.3
2/29/12,6.5,56.5,1014.5
3/1/12,5.4,69.9,1025.4
3/2/12,8.6,66.4,1025.3
3/3/12,13.3,64.4,1019.7
3/4/12,12.3,60.1,1021.9
3/5/12,11.4,81.6,1019.2
